"No.","Rubro","Ejercicio","NOM_MUN","Inversión","Habitantes beneficiados","Obra"
"80","Espacios Públicos",2023,"Apan",546069.58,28792,"SEMEFO Apan"
"81","Infraestructura Carretera",2023,"Apan",8878583.87,NA,"Reconstrucción de la carretera estatal Apan - La Unión"
"82","Infraestructura Carretera",2023,"Apan",13772926.91,4831,"Reconstrucción de carpeta asfáltica de la C.E. Cárdenas - San Juan Ixtilmaco; en el municipio de Apan."
"83","Infraestructura Carretera",2023,"Apan",27089714.51,2957,"Reconstrucción de la C.E. Chimalpa -Cárdenas; en el municipio de Apan"
"84","Infraestructura Carretera",2025,"Apan",3e+07,NA,"Construcción de pavimentación asfáltica en la C.E. Acopinalco - Apan (primera etapa); en el municipio de Apan"
"85","Espacios Públicos",2023,"Apan",1200000,NA,"Pago de afectaciones por la construcción del acceso al Hospital regional de Apan"
"86","Vialidades Urbanas",2024,"Apan",18297073.76,1740,"Construcción de pavimentación de concreto hidráulico en acceso a la localidad La Laguna;municipio de Apan."
"87","Infraestructura Carretera",2023,"Apan",35631549.8,NA,"Reconstrucción de la C.E. Apan - La Unión (Limites con el Estado de Tlaxcala)."
"88","Espacios Públicos",2024,"Apan",11937798.83,927,"Construcción de caseta de control y barda perimetral SE maniobras; Acopinalco municipio de Apan."
"89","Infraestructura Hídrica",2024,"Apan",4864872.04,147,"Perforación exploratoria y terminación de pozo para uso público urbano; en la localidad de El Tigre; municipio de Apan; Hidalgo."
"90","Infraestructura Hídrica",2023,"Atitalaquia",3946171.58,3885,"Ampliación de drenaje sanitario Villa Mil - La Alcantarilla; en la localidad de Tlamaco; en el municipio de Atitalaquia"
"91","Infraestructura Carretera",2025,"Atitalaquia",4e+07,NA,"Modernización de carretera Tlaxcoapan - Apaxco (tramo El Tablón - Texas) con concreto hidráulico; municipio de Atitalaquia"
"92","Infraestructura Carretera",2023,"Atitalaquia",7361622.04,21613,"Pavimentación asfáltica del libramiento Atitalaquia - Tlaxcoapan; municipio de Atitalaquia"
"93","Vialidades Urbanas",2022,"Atitalaquia",5235895.62,3885,"Pavimentación asfáltica de calle Felipe Ángeles; localidad de Tlamaco; municipio de Atitalaquia"
"94","Infraestructura Carretera",2024,"Atitalaquia",13152429.01,12081,"Construcción de libramiento del Dendho a la carretera Tula - Jorobas; en el municipio de Atitalaquia."
"95","Infraestructura Carretera",2023,"Atitalaquia",13572744.96,6924,"Pavimentación asfáltica de la carretera Refinería - Bojay; en el municipio de Atitalaquia."
"96","Infraestructura Hídrica",2024,"Atitalaquia",834042.92636032,0,"Actualización del proyecto ejecutivo para el saneamiento de los Ríos Tula y Salado; primera etapa"
"97","Infraestructura Hídrica",2024,"Atlapexco",1548636.12,655,"PTAR  Huitzotlaco. Reposición de Equipo de Bombeo de 7.5 H.P. Paneles Solares; desazolve de estructuras de planta y cercado perimetral (140 m). "
"98","Espacios Públicos",2024,"Atlapexco",6319985.06,2960,"Construcción de la casa de la mujer indígena 1er etapa en el municipio de Atlapexco"
"99","Infraestructura Carretera",2024,"Atlapexco",8288509.13,1113,"Rehabilitación de la Carretera Atlapexco a Lolotla; Tramo: Acceso a la localidad de Itzócal; municipio de Atlapexco"
"100","Infraestructura Carretera",2023,"Atlapexco",5898886.79,655,"Rehabilitación del tramo: Huitzotlaco - Ecuatitla; del km 0+000 al km 7+500"
"101","Infraestructura Hídrica",2024,"Atlapexco",1249961.72,383,"PTAR Atlatipa Huitzotlaco.- Reposición de Equipo de Bombeo de 7.5 H.P. Paneles Solares; desazolve de estructuras de planta y cercado perimetral (80 m)."
"102","Infraestructura Hídrica",2024,"Atlapexco",11419680.01,738,"Construcción de sistema de agua potable en la localidad de Atotomoc; en el municipio de Atlapexco"
"103","Infraestructura Carretera",2023,"Atlapexco",2130447,923,"Rehabilitación del tramo: E.C. Atlapexco-Cuatapa-Tenexco; del km 0+000 al km 3+900."
"104","Infraestructura Carretera",2023,"Atlapexco",7530534.4,1410,"Modernización y ampliación del camino (Atlapexco - Calnali) - Tlachapa - Atlajco - Cochotla; municipio de Atlapexco"
"105","Infraestructura Carretera",2023,"Atlapexco",15735167.26,969,"Construcción de muros de contención en la comunidad de Tecolotitla; en el municipio de Atlapexco"
"106","Vivienda Asequible",2022,"Atlapexco",1525585.5,60,"Construcción de Cuarto Dormitorio; en el municipio de Atlapexco"
"107","Infraestructura Carretera",2023,"Atlapexco",3314831.05,1508,"Rehabilitación del tramo E.C. (Acceso a Yahualica)-Pahactla -Santo Tomas-Xancaltitla; del km 0+000 al km 4+700; en el municipio de Atlapexco."
"108","Infraestructura Carretera",2023,"Atlapexco",1394633.97,165,"Rehabilitación del tramo: E.C. (Huejutla-Atlapexco) -Ixtacuayo; del km 0+000 al km 2+000; en el municipio de Atlapexco."
"109","Infraestructura Carretera",2024,"Atlapexco",16458253.61,1508,"Construcción de pavimentación hidráulica del camino Pahactla a Atlapexco en el municipio de Atlapexco."
