"ID"	"CVEGEO_MUN"	"NOM_MUN"	"Rubro"	"Inversión"	"Habitantes beneficiados"	"Ejercicio"	"Obra"	"tiene_geo"
82	13008	"Apan"	"Infraestructura Carretera"	27089714.51	2957	2023	"Reconstrucción de la C.E. Chimalpa -Cárdenas, en el municipio de Apan"	TRUE
83	13008	"Apan"	"Infraestructura Carretera"	5093623.22	484	2023	"Rehabilitación de carretera de acceso a Malayerba; en el municipio de Apan"	TRUE
84	13008	"Apan"	"Infraestructura Carretera"	2531697.56	484	2024	"Construcción de cunetas y obras de drenaje para protección del acceso a Malayerba, municipio de Apan"	FALSE
85	13008	"Apan"	"Infraestructura Carretera"	8502757.37	814	2024	"Construcción de pavimentación asfáltica Acceso a Jiquilpan, en el municipio de Apan."	TRUE
86	13008	"Apan"	"Infraestructura Carretera"	13772926.91	4831	2023	"Reconstrucción de carpeta asfáltica de la C.E. Cárdenas - San Juan Ixtilmaco, en el municipio de Apan."	TRUE
87	13010	"Atitalaquia"	"Infraestructura Carretera"	4e+07	NA	2025	"Modernización de carretera Tlaxcoapan - Apaxco (tramo El Tablón - Texas) con concreto hidráulico, municipio de Atitalaquia"	FALSE
88	13010	"Atitalaquia"	"Infraestructura Carretera"	13152429.01	12081	2024	"Construcción de libramiento del Dendho a la carretera Tula - Jorobas, en el municipio de Atitalaquia."	FALSE
89	13010	"Atitalaquia"	"Infraestructura Carretera"	7361622.04	21613	2023	"Pavimentación asfáltica del libramiento Atitalaquia - Tlaxcoapan, municipio de Atitalaquia"	TRUE
90	13010	"Atitalaquia"	"Infraestructura Hídrica"	3946171.58	3885	2023	"Ampliación de drenaje sanitario Villa Mil - La Alcantarilla, en la localidad de Tlamaco; en el municipio de Atitalaquia"	TRUE
91	13010	"Atitalaquia"	"Vialidades Urbanas"	5235895.62	3885	2022	"Pavimentación asfáltica de calle Felipe Ángeles, localidad de Tlamaco, municipio de Atitalaquia"	TRUE
