"No.","Municipio_Original","CVEGEO","NOM_MUN","Rubro","Ejercicio","Obra","Localidad","Inversión","Avance","Habitantes beneficiados"
"89","Atitalaquia","13010","Atitalaquia","Infraestructura Carretera","2023","Pavimentación asfáltica del libramiento Atitalaquia - Tlaxcoapan municipio de Atitalaquia","Tlalminulpa",7361622.04,"1","21613"
"90","Atitalaquia","13010","Atitalaquia","Infraestructura Hídrica","2023","Ampliación de drenaje sanitario Villa Mil - La Alcantarilla en la localidad de Tlamaco en el municipio de Atitalaquia","Tlamaco (San Gerónimo Tlamaco)",3946171.58,"0.46","3885"
"91","Atitalaquia","13010","Atitalaquia","Vialidades Urbanas","2022","Pavimentación asfáltica de calle Felipe Ángeles localidad de Tlamaco municipio de Atitalaquia","Tlamaco (San Gerónimo Tlamaco)",5235895.62,"1","3885"
"87","Atitalaquia","13010","Atitalaquia","Infraestructura Carretera","2025","Modernización de carretera Tlaxcoapan - Apaxco (tramo El Tablón - Texas) con concreto hidráulico municipio de Atitalaquia","Atitalaquia",40000000,"0","NA"
"92","Atitalaquia","13010","Atitalaquia","Infraestructura Carretera","2023","Pavimentación asfáltica de la carretera Refinería - Bojay en el municipio de Atitalaquia.","Unidad Habitacional Antonio Osorio de León (Bojay)",13572744.96,"0.9","6924"
"101","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2024","Rehabilitación de la Carretera Atlapexco a Lolotla Tramo: Acceso a la localidad de Itzócal municipio de Atlapexco","Itzócal",8288509.13,"0.9","1113"
"102","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2023","Rehabilitación del tramo: E.C. (Huejutla-Atlapexco) -Ixtacuayo del km 0+000 al km 2+000 en el municipio de Atlapexco.","Ixtacuayo",1394633.97,"1","165"
"103","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2023","Rehabilitación del tramo E.C. (Acceso a Yahualica)-Pahactla -Santo Tomas-Xancaltitla del km 0+000 al km 4+700 en el municipio de Atlapexco.","Pahactla",3314831.05,"1","1508"
"100","Atlapexco","13011","Atlapexco","Infraestructura Hídrica","2024","PTAR  Huitzotlaco. Reposición de Equipo de Bombeo de 7.5 H.P. Paneles Solares desazolve de estructuras de planta y cercado perimetral (140 m). ","Huitzotlaco",1548636.12,"1","655"
"104","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2024","Construcción de pavimentación hidráulica del camino Pahactla a Atlapexco en el municipio de Atlapexco.","Pahactla",16458253.61,"0.5","1508"
"105","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2023","Construcción de muros de contención en la comunidad de Tecolotitla en el municipio de Atlapexco","Tecolotitla",15735167.26,"1","969"
"96","Atlapexco","13011","Atlapexco","Infraestructura Hídrica","2024","Construcción de sistema de agua potable en la localidad de Atotomoc en el municipio de Atlapexco","Atotomoc",11419680.01,"0.71","738"
"99","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2023","Rehabilitación del tramo: Huitzotlaco - Ecuatitla del km 0+000 al km 7+500","Huitzotlaco",5898886.79,"1","655"
